NSRM,30-Jun-13,11.11,10,1,30.08,453.22,522.51,4.94,15.59,7.75,7.83,10,0,10,501,2013
DBSL,30-Jun-13,40,10,4,30.97,59,0,0,-5.21,0,-5.21,0,0,0,88,2013
FPJM,30-Jun-13,340.2,10,34,31.08,1567.96,347.25,139.61,-111.62,0,-111.62,0,0,0,4618,2013
INKL,30-Jun-13,32.25,10,3,33.44,93.45,105.44,1.81,-13.32,0.63,-13.95,0,0,0,1183,2013
MOON,30-Jun-13,21.6,10,2,35.1,91.88,11.6,2.42,-68.37,0.34,-68.71,0,0,0,2256,2013
MUKT,30-Jun-13,145,10,14,37.73,58.03,1.2,0,-3.67,0.01,-3.69,0,0,0,1455,2013
AKDCL,30-Jun-13,25.07,10,2,38.55,41.53,4.98,0.01,3.04,1.2,1.84,20,0,20,995,2013
HMIM,30-Jun-13,119.75,10,11,43.99,52.99,1.59,0.95,-38.81,0,-38.81,0,0,0,287,2013
SGPL,30-Jun-13,178.33,10,17,51.25,63.13,0,0,-200.34,0,-200.34,0,0,0,1560,2013
SFAT,30-Jun-13,40,10,4,58.28,299.34,771.76,18.45,8.95,7.82,1.13,0,0,0,185,2013
GAIL,30-Jun-13,200,10,20,62.61,428.28,173.26,11.89,-9.71,0.87,-10.57,0,0,0,1186,2013
ICIBL,30-Jun-13,2848.67,10,284,69.93,1400.81,107.92,29.79,205.12,-146.69,351.81,0,0,0,9409,2013
UBDL,30-Jun-13,108,10,10,73.55,379.61,1198.62,12.6,24.35,8.73,15.62,10,0,10,312,2013
GRYL,30-Jun-13,215,10,21,75.35,214.75,9.21,1.43,3.69,0.25,3.44,0,0,0,339,2013
PAKMI,30-Jun-13,125.4,10,12,76.34,78.67,6.28,0,2.04,0.08,1.96,1.2,0,1.2,4123,2013
HUSS,30-Sep-13,170,10,17,77.4,2183.84,2234.95,121.18,-217.02,-26.22,-190.8,0,0,0,564,2013
UVIC,31-Dec-13,300,10,30,77.89,935.12,119.41,0.39,-87.4,1.69,-89.1,0,0,0,934,2013
CSIL,31-Dec-13,121,10,12,88.75,164.82,83.65,0,2.07,0.6,1.47,0,0,0,522,2013
AGSML,30-Sep-13,792.62,10,79,94.67,3165.31,1277.46,105.01,-95.57,2.88,-98.45,0,0,0,1637,2013
SARC,30-Jun-13,60,10,6,102.81,154.93,174.38,5.87,4.99,1.41,3.58,0,0,0,2040,2013
AMBL,31-Dec-13,300,10,30,103.17,1313.38,154.34,0,-52.12,1.2,-53.32,0,0,0,361,2013
BAPL,30-Jun-13,75.03,10,7,111.06,215.28,238.52,9.49,21.95,8.97,12.98,0,0,0,682,2013
SRSM,30-Jun-13,312,10,31,112.91,1386.4,2975.6,61.57,87.47,23.76,63.71,0,0,0,2791,2013
SJTM,30-Jun-13,212.68,10,21,116.86,711.14,807.48,5.18,80,28.34,51.66,5,0,5,504,2013
CPAL,30-Jun-13,107.44,10,10,121.02,204.91,41.52,8.6,24.84,10.6,14.24,0,0,0,735,2013
BFMOD,30-Jun-13,75.15,10,7,122.97,128.51,12.44,0,2.23,0.23,2,0,0,0,1040,2013
ARUJ,30-Jun-13,61.52,10,6,123.21,402.18,478.46,12.58,29.3,7.85,21.45,0,0,0,578,2013
CSM,30-Jun-13,200,10,20,124.77,160.58,27.3,0,5.84,0,5.84,1.5,0,1.5,1680,2013
IDEN,30-Jun-13,80,10,8,126.78,163.46,153,0.1,-14.58,0,-14.58,0,0,0,121,2013
FIMM,30-Jun-13,30,10,3,132.75,308.62,641.67,0,57.98,25.23,32.75,100,0,100,364,2013
FECM,30-Jun-13,113.4,10,11,133.69,193.47,61.78,0.01,9.04,0,9.04,5.5,0,5.5,4519,2013
ECOP,30-Jun-13,229.77,10,22,135.16,1620.36,1770,116.77,41.66,39.2,2.46,0,0,0,2454,2013
LPGL,30-Jun-13,75,10,7,138.84,558.77,705.29,12.2,9.56,6.84,2.72,0,0,0,574,2013
YOUW,30-Jun-13,400,10,40,140.26,1763.4,2839.79,81.74,58.29,24.21,34.08,0,0,0,528,2013
DEL,30-Jun-13,249.97,10,25,161.09,182.92,11.91,0.05,4.99,0.1,4.88,0,0,0,4311,2013
NEXT,30-Jun-13,200,10,20,161.94,252.48,58.19,4.95,-10.41,-3.67,-6.73,0,0,0,420,2013
IGIBL,30-Jun-13,2121.03,10,212,167.5,1510.25,189.45,236.92,-796.07,286.8,-1082.87,0,0,0,3629,2013
FIBLM,30-Jun-13,201.88,10,20,173.68,219.98,12.85,0.01,9.29,0,9.29,3.35,0,3.35,1258,2013
FPRM,30-Jun-13,76.22,10,7,175.67,266.95,47.3,5.34,16.41,0,16.41,11,10,21,1179,2013
NOPK,30-Jun-13,52.27,10,5,176.71,1376.34,2926.23,53.06,-144.68,-16.75,-127.94,0,0,0,898,2013
MODAM,30-Jun-13,184.24,10,18,179.29,239.31,100.24,0,3.45,0.35,3.09,1.25,0,1.25,3843,2013
DKTM,30-Jun-13,56.82,10,5,183.34,1347.3,1426.14,14.74,-6.04,-7.31,1.27,0,0,0,715,2013
GRAYS,30-Jun-13,73.49,10,7,183.83,212.91,195.92,0.61,5.12,2.67,2.45,0,0,0,429,2013
GLOT,30-Jun-13,163.66,10,16,185.35,185.63,0,0,-196.76,0,-196.76,0,0,0,482,2013
GAMON,30-Jun-13,282.66,10,28,191.17,607.35,59.91,0.06,-19.14,-0.79,-18.36,0,0,0,2293,2013
AKGL,30-Jun-13,100,10,10,207.64,488.98,1145.75,3.18,40.34,14.84,25.5,0,0,0,392,2013
EWLA,31-Dec-13,594.29,10,59,211.47,553,17.54,0,4.21,-0.77,4.98,0,0,0,929,2013
SMCPL,30-Jun-13,200,10,20,212.32,346.21,646.49,9.4,7.89,-7.34,15.23,0,0,0,729,2013
DMTM,30-Jun-13,34.34,10,3,212.38,1401.83,1590.56,23.21,-3.89,9.68,-13.57,0,0,0,663,2013
GVGL,30-Jun-13,75.35,10,7,222.27,572.86,570.01,0.28,36.79,11.1,25.69,5,0,5,599,2013
PIL,31-Dec-13,350,10,35,228.61,925.75,351.72,0.36,9.91,0.48,9.42,0,0,0,3244,2013
FDIBL,30-Jun-13,626.49,10,62,232.16,1143.75,66.79,14.99,-18.89,-68.8,49.91,0,0,0,2924,2013
DBCI,30-Jun-13,982.37,10,98,233.94,3646.35,0,0,-116.67,0,-116.67,0,0,0,4820,2013
ARPAK,30-Jun-13,40,10,4,235.7,238.32,13.14,0,-10.49,0.31,-10.8,0,0,0,901,2013
SCL,30-Jun-13,39,10,3,245.71,694.7,1218.94,19.41,42.25,4.71,37.54,15,0,15,349,2013
SLCL,30-Jun-13,363,10,36,253.39,1168,-23.5,0.35,-120.85,8.03,-128.89,0,0,0,300,2013
QUICE,30-Jun-13,522.01,10,52,254.26,291.51,202.77,0.29,0.31,0,0.31,0,0,0,4551,2013
PPP,30-Jun-13,60,10,6,257.06,522.46,501.24,7.33,60.02,21.23,38.8,30,0,30,874,2013
IDSM,30-Jun-13,99.2,10,9,257.12,886.95,1981.87,42.82,44.72,13.97,30.75,0,0,0,1588,2013
SPL,30-Jun-13,551,10,55,261.25,2589.04,1110.4,189.01,-9.92,9.31,-19.23,0,0,0,10021,2013
KASBM,30-Jun-13,282.74,10,28,265.72,1516.09,206.13,133.2,-46.13,0,-46.13,0,0,0,1124,2013
KCL,30-Jun-13,145.49,10,14,271.22,876.56,1156.07,34.5,17.41,13.04,4.37,0,0,0,361,2013
AWTX,30-Jun-13,8,10,0,271.62,1113.6,2038.91,26.15,121.47,34.27,87.19,202.5,0,202.5,178,2013
ADOS,30-Jun-13,65.83,10,6,274.45,877.81,1061.08,0.88,152.7,54.37,98.33,25,0,25,888,2013
